
Gradient Size: 10 MB
workers	step_time	speedup	efficiency	comm_ratio
1	0.1000	1.00	1.00	0.00
2	0.0510	1.96	0.98	0.02
4	0.0265	3.78	0.94	0.06
8	0.0142	7.04	0.88	0.12
16	0.0081	12.37	0.77	0.23

Gradient Size: 100 MB
workers	step_time	speedup	efficiency	comm_ratio
1	0.1000	1.00	1.00	0.00
2	0.0598	1.67	0.84	0.16
4	0.0396	2.52	0.63	0.37
8	0.0296	3.38	0.42	0.58
16	0.0246	4.07	0.25	0.75

Gradient Size: 1000 MB
workers	step_time	speedup	efficiency	comm_ratio
1	0.1000	1.00	1.00	0.00
2	0.1477	0.68	0.34	0.66
4	0.1715	0.58	0.15	0.85
8	0.1834	0.55	0.07	0.93
16	0.1894	0.53	0.03	0.97
